test-rmse-mean,test-rmse-std,train-rmse-mean,train-rmse-std
0.3719502,0.00100106870893,0.3697727,0.000218936543318
0.3719251,0.00100637661439,0.3697391,0.000218859978068
0.3719019,0.00100525861847,0.369707,0.000221544577907
0.3718774,0.00100489046169,0.3696751,0.000225312427531
0.3718537,0.00100534591559,0.3696411,0.000222702694191
0.3718287,0.00100200709079,0.36961,0.000225830910196
0.371804,0.00100096333599,0.3695781,0.000228075623423
0.3717814,0.00100560222752,0.3695473,0.00022377937796
0.3717614,0.00100728081487,0.3695194,0.000224690542747
0.3717362,0.00100703135999,0.3694856,0.00022613367728
0.3717168,0.00100757379879,0.3694563,0.000226033647938
0.371694,0.00100383863245,0.3694251,0.000229031198748
0.3716676,0.0010065736138,0.3693922,0.00023020112945
0.3716499,0.00100778613307,0.369364,0.000230567126885
0.3716333,0.00100811329224,0.3693376,0.000229343061809
0.3716036,0.00100659596661,0.3693029,0.000231450837112
0.3715834,0.00100822846617,0.3692734,0.000234433871273
0.3715659,0.00101081981085,0.3692478,0.000232052924998
0.3715404,0.00101317690459,0.3692137,0.000230549799393
0.3715181,0.00101225386638,0.369183,0.000234397098958
0.371493,0.00100920315101,0.3691519,0.000237095107499
0.3714687,0.00101412386324,0.3691199,0.000232945680363
0.3714444,0.00100954694789,0.3690891,0.000237882092643
0.3714215,0.00100859677275,0.3690576,0.000243649420274
0.3713975,0.00100509196097,0.3690247,0.000243568901956
0.371375,0.0010090610487,0.3689959,0.000238830672235
0.3713427,0.00100814741482,0.3689542,0.000243187499679
0.3713233,0.00101576365853,0.3689287,0.000236782621829
0.3713022,0.00101437673475,0.3689008,0.000237046746445
0.3712798,0.00101199503951,0.3688706,0.000241230263441
0.3712582,0.00101504717132,0.3688432,0.000237286240646
0.371231,0.0010231977326,0.368808,0.000231580223681
0.3712039,0.001022780079,0.3687728,0.000226153841444
0.3711807,0.00101946221607,0.3687412,0.000230660703198
0.3711567,0.00102655044201,0.3687078,0.00022582905039
0.3711218,0.00102610387388,0.3686651,0.000228718801151
0.3710963,0.00102441466702,0.3686342,0.00022643665781
0.3710736,0.00102315856054,0.368604,0.000228079810593
0.3710429,0.00102701202038,0.3685643,0.000220106360653
0.371018,0.00102198101744,0.368529,0.000231630308898
0.3709968,0.00102427386963,0.3684988,0.00022720906672
0.3709678,0.00101838860952,0.3684603,0.000230944170743
0.3709478,0.00101707116762,0.3684299,0.000230481430922
0.3709223,0.00101912119495,0.3683967,0.000226875318182
0.3708917,0.00102534365459,0.3683563,0.000218408813925
0.3708657,0.00101876366739,0.3683213,0.000229504705834
0.3708434,0.00102357717833,0.36829,0.000218995433742
0.3708174,0.00102396876905,0.3682536,0.000225274588003
0.370791,0.00102248716373,0.3682171,0.000221151283062
0.3707762,0.00101750526289,0.3681952,0.000222992286862
0.3707496,0.00101480729205,0.3681587,0.000228395293297
0.3707235,0.00101619990651,0.3681252,0.000221944948129
0.3706959,0.00101465239861,0.3680873,0.000228482406325
0.3706825,0.00101131392258,0.3680659,0.000228752464468
0.3706552,0.00101244543557,0.3680296,0.000227193397791
0.3706338,0.00100894814535,0.3679984,0.000231754697903
0.3706091,0.0010145509795,0.367966,0.0002297067696
0.3705904,0.00102162088859,0.3679372,0.000224604452316
0.3705616,0.00102001913708,0.3679001,0.000224078312204
0.3705418,0.00101876413364,0.3678727,0.000221617711386
0.3705215,0.0010190357452,0.3678453,0.000224766122892
0.370499,0.00102438098381,0.3678131,0.0002217680996
0.3704731,0.00101889915595,0.3677772,0.000222758523967
0.3704583,0.00102097610648,0.3677563,0.000220187669955
0.3704425,0.00102020402371,0.3677334,0.000219333627153
0.3704229,0.00101944361786,0.3677061,0.000219827409574
0.3704019,0.00102539850302,0.3676745,0.000216238872546
0.3703779,0.00103034629615,0.3676401,0.000210254345972
0.3703612,0.00102770275858,0.3676162,0.000210501686454
0.3703432,0.00103285331001,0.3675896,0.000208433778453
0.3703231,0.00103091381308,0.3675619,0.000208085295011
0.3703066,0.00103489257414,0.3675379,0.000204259859003
0.370288,0.0010305772169,0.3675119,0.000208508249237
0.3702684,0.00102951903334,0.3674829,0.000207899230398
0.370251,0.001027673489,0.3674592,0.000207721833229
0.3702303,0.00102899631195,0.3674324,0.000208280676012
0.3702148,0.00102949286544,0.3674112,0.00020735804783
0.3701945,0.00103029862176,0.3673813,0.000207914429514
0.370173,0.00103248932198,0.3673539,0.000204092356545
0.3701525,0.00103157387036,0.3673225,0.000205797108823
0.3701295,0.00102721324466,0.3672907,0.000203512186367
0.3701134,0.0010290194556,0.3672667,0.000205067330406
0.3700942,0.00102621175203,0.3672396,0.000207179246065
0.370073,0.00102199765166,0.3672128,0.000211594801448
0.370062,0.00102555380161,0.3671931,0.000211278228883
